version,cohort,model,threshold,n_images,n_failures,prevalence,auroc,ci_low,ci_high
16,random,yolo11l-coco-torch,0.75,1000,650,0.65,0.6982681318681319,0.6680828658836999,0.7296851718179413
16,random,yolo11m-coco-torch,0.75,1000,666,0.666,0.7068722914531298,0.6769423137171334,0.737669745553832
16,random,yolo11n-coco-torch,0.75,1000,778,0.778,0.7297760485421154,0.6958976176952613,0.763154529316112
16,random,yolo11s-coco-torch,0.75,1000,693,0.693,0.6980108201606573,0.6670816504045961,0.7290051156757178
16,random,yolo11x-coco-torch,0.75,1000,602,0.602,0.7051933254311424,0.6738963162078763,0.7359532829268423
16,random,yolov10l-coco-torch,0.75,1000,633,0.633,0.6958775090288449,0.6653339748403589,0.7255297623572403
16,random,yolov10m-coco-torch,0.75,1000,657,0.657,0.6980111026798195,0.6661744483070715,0.7287284736510145
16,random,yolov10n-coco-torch,0.75,1000,784,0.784,0.7344990079365079,0.702451616122557,0.7666893473088093
16,random,yolov10s-coco-torch,0.75,1000,691,0.691,0.6942309583690445,0.6636111004134504,0.7238648388461917
16,random,yolov10x-coco-torch,0.75,1000,625,0.625,0.6801792,0.6495652840761049,0.7107531378733042
16,random,yolov5l-coco-torch,0.75,1000,672,0.672,0.7041571392276422,0.672881584384253,0.7361173050854148
16,random,yolov5m-coco-torch,0.75,1000,687,0.687,0.6949509605591752,0.6656326114690511,0.7271342373570897
16,random,yolov5n-coco-torch,0.75,1000,838,0.838,0.7263656854945638,0.6872486271405137,0.7632769083842821
16,random,yolov5s-coco-torch,0.75,1000,718,0.718,0.6959121081017009,0.6638364248101724,0.7279878880913805
16,random,yolov5x-coco-torch,0.75,1000,624,0.624,0.6971473506546645,0.6665306649271642,0.7271247588950137
16,random,yolov8l-coco-torch,0.75,1000,622,0.622,0.6865759880229334,0.655792620826922,0.7189850519430291
16,random,yolov8m-coco-torch,0.75,1000,680,0.68,0.7030698529411765,0.6729640634390427,0.7342975889085255
16,random,yolov8n-coco-torch,0.75,1000,798,0.798,0.7087458745874587,0.6735513078828339,0.7465714823322618
16,random,yolov8s-coco-torch,0.75,1000,715,0.715,0.7024021592442645,0.6704664685365521,0.7353192198167944
16,random,yolov8x-coco-torch,0.75,1000,623,0.623,0.6894529337380946,0.6579387750095173,0.7182078484444535
16,random,yolov9c-coco-torch,0.75,1000,659,0.659,0.6985679893555952,0.6676820642759675,0.729094347940227
16,random,yolov9e-coco-torch,0.75,1000,604,0.604,0.6923163756773029,0.6633320911696039,0.7223671157107384
